id,name,email,country,amount,date
1,Bob 1,bob.11@example.com,USA,744.13,2024-05-05
2,Diana 2,diana.22@example.com,Canada,739.1,2024-12-12
3,Ivan 3,ivan.33@example.com,Mexico,594.58,2024-01-17
4,Alice 4,alice.44@example.com,Mexico,226.45,2024-09-15
5,Julia 5,julia.55@example.com,USA,565.63,2024-11-28
6,Ivan 6,ivan.66@example.com,Spain,228.23,2024-10-28
7,Eduardo 7,eduardo.77@example.com,USA,761.21,2024-03-22
8,George 8,george.88@example.com,Germany,285.09,2024-04-20
9,Fatima 9,fatima.99@example.com,Mexico,101.82,2024-02-19
10,Fatima 10,fatima.1010@example.com,Germany,607.68,2024-01-23
11,Hannah 11,hannah.1111@example.com,Japan,133.58,2024-07-12
12,Bob 12,bob.1212@example.com,Japan,300.24,2024-11-17
13,Julia 13,julia.1313@example.com,Germany,581.57,2024-12-26
14,Bob 14,bob.1414@example.com,USA,664.64,2024-05-28
15,Bob 15,bob.1515@example.com,UK,867.81,2024-07-13
16,Eduardo 16,eduardo.1616@example.com,Italy,639.32,2024-07-05
17,Carlos 17,carlos.1717@example.com,Germany,361.71,2024-12-09
18,Eduardo 18,eduardo.1818@example.com,Mexico,613.03,2024-03-28
19,Ivan 19,ivan.1919@example.com,UK,171.77,2024-07-13
20,Eduardo 20,eduardo.2020@example.com,Japan,227.42,2024-06-15
21,Alice 21,alice.2121@example.com,UK,823.58,2024-06-10
22,George 22,george.2222@example.com,France,75.53,2024-10-17
23,Fatima 23,fatima.2323@example.com,UK,658.88,2024-07-21
24,Hannah 24,hannah.2424@example.com,Canada,272.23,2024-05-06
25,Ivan 25,ivan.2525@example.com,Japan,270.11,2024-10-26
26,George 26,george.2626@example.com,Brazil,405.4,2024-04-22
27,Carlos 27,carlos.2727@example.com,Japan,498.58,2024-01-25
28,Bob 28,bob.2828@example.com,Canada,631.17,2024-12-14
29,George 29,george.2929@example.com,Brazil,72.89,2024-07-14
30,Julia 30,julia.3030@example.com,Italy,533.82,2024-10-10
31,Alice 31,alice.3131@example.com,Mexico,684.89,2024-10-01
32,Eduardo 32,eduardo.3232@example.com,Germany,120.44,2024-08-10
33,Carlos 33,carlos.3333@example.com,Italy,13.21,2024-05-14
34,Ivan 34,ivan.3434@example.com,Canada,512.6,2024-02-24
35,Eduardo 35,eduardo.3535@example.com,Japan,612.87,2024-03-19
36,Fatima 36,fatima.3636@example.com,Canada,543.98,2024-09-28
37,Alice 37,alice.3737@example.com,Brazil,330.91,2024-01-10
38,Bob 38,bob.3838@example.com,Germany,879.93,2024-06-06
39,Diana 39,diana.3939@example.com,USA,248.46,2024-10-17
40,Bob 40,bob.4040@example.com,Mexico,734.58,2024-02-05
41,Ivan 41,ivan.4141@example.com,Canada,137.11,2024-08-31
42,Ivan 42,ivan.4242@example.com,Canada,272.4,2024-11-06
43,George 43,george.4343@example.com,UK,929.62,2024-12-19
44,Diana 44,diana.4444@example.com,France,405.0,2024-12-09
45,Fatima 45,fatima.4545@example.com,Italy,900.61,2024-08-19
46,Bob 46,bob.4646@example.com,UK,232.45,2024-06-22
47,Alice 47,alice.4747@example.com,Brazil,558.38,2024-10-28
48,Diana 48,diana.4848@example.com,USA,80.28,2024-11-19
49,Alice 49,alice.4949@example.com,UK,76.73,2024-01-17
50,Fatima 50,fatima.5050@example.com,Mexico,519.01,2024-05-22
51,Hannah 51,hannah.5151@example.com,UK,543.84,2024-10-19
52,Julia 52,julia.5252@example.com,Italy,250.56,2024-08-30
53,George 53,george.5353@example.com,UK,103.38,2024-12-03
54,George 54,george.5454@example.com,Germany,429.34,2024-08-27
55,Alice 55,alice.5555@example.com,Mexico,70.01,2024-06-22
56,Bob 56,bob.5656@example.com,UK,199.67,2024-10-01
57,Hannah 57,hannah.5757@example.com,Canada,427.66,2024-05-22
58,Hannah 58,hannah.5858@example.com,UK,875.73,2024-02-08
59,Hannah 59,hannah.5959@example.com,Japan,106.93,2024-11-29
60,Ivan 60,ivan.6060@example.com,USA,969.3,2024-05-01
61,Carlos 61,carlos.6161@example.com,Spain,490.78,2024-04-19
62,George 62,george.6262@example.com,USA,172.99,2024-01-02
63,George 63,george.6363@example.com,France,927.24,2024-08-20
64,Eduardo 64,eduardo.6464@example.com,Spain,699.62,2024-10-11
65,Hannah 65,hannah.6565@example.com,Canada,198.0,2024-04-21
66,Alice 66,alice.6666@example.com,Brazil,738.37,2024-02-01
67,Fatima 67,fatima.6767@example.com,USA,59.64,2024-09-01
68,Ivan 68,ivan.6868@example.com,Japan,165.86,2024-09-17
69,Bob 69,bob.6969@example.com,Canada,77.84,2024-02-04
70,Diana 70,diana.7070@example.com,Spain,128.69,2024-10-18
71,Diana 71,diana.7171@example.com,Brazil,598.57,2024-11-13
72,Bob 72,bob.7272@example.com,Spain,660.79,2024-10-16
73,Ivan 73,ivan.7373@example.com,Germany,935.35,2024-04-14
74,Fatima 74,fatima.7474@example.com,UK,272.96,2024-03-08
75,Eduardo 75,eduardo.7575@example.com,Italy,323.01,2024-02-07
76,Alice 76,alice.7676@example.com,Italy,624.94,2024-10-15
77,Bob 77,bob.7777@example.com,Mexico,542.25,2024-09-16
78,Eduardo 78,eduardo.7878@example.com,Canada,933.92,2024-02-05
79,Diana 79,diana.7979@example.com,Germany,292.13,2024-08-12
80,Ivan 80,ivan.8080@example.com,France,615.55,2024-11-30
81,Ivan 81,ivan.8181@example.com,USA,671.18,2024-10-10
82,Eduardo 82,eduardo.8282@example.com,Mexico,939.53,2024-03-09
83,Eduardo 83,eduardo.8383@example.com,Mexico,890.81,2024-10-10
84,Carlos 84,carlos.8484@example.com,France,288.94,2024-04-17
85,Fatima 85,fatima.8585@example.com,UK,690.62,2024-05-15
86,Ivan 86,ivan.8686@example.com,Italy,258.61,2024-01-27
87,Bob 87,bob.8787@example.com,Spain,831.05,2024-01-23
88,Alice 88,alice.8888@example.com,Germany,773.4,2024-11-22
89,Eduardo 89,eduardo.8989@example.com,Canada,743.81,2024-10-09
90,George 90,george.9090@example.com,Japan,19.57,2024-02-08
91,Carlos 91,carlos.9191@example.com,Japan,45.67,2024-07-08
92,Julia 92,julia.9292@example.com,Japan,156.61,2024-03-06
93,Alice 93,alice.9393@example.com,France,371.0,2024-01-21
94,Fatima 94,fatima.9494@example.com,UK,685.24,2024-12-07
95,Bob 95,bob.9595@example.com,Germany,782.31,2024-07-27
96,Julia 96,julia.9696@example.com,Canada,926.5,2024-05-01
97,Carlos 97,carlos.9797@example.com,Canada,882.59,2024-01-13
98,Carlos 98,carlos.9898@example.com,Germany,784.55,2024-07-29
99,Diana 99,diana.9999@example.com,France,167.6,2024-12-25
100,Bob 100,bob.100100@example.com,Spain,873.44,2024-08-28
101,Diana 101,diana.101101@example.com,UK,818.41,2024-08-23
102,Fatima 102,fatima.102102@example.com,France,822.32,2024-04-26
103,Diana 103,diana.103103@example.com,USA,663.43,2024-07-23
104,Fatima 104,fatima.104104@example.com,France,865.7,2024-05-22
105,Fatima 105,fatima.105105@example.com,Japan,405.68,2024-10-01
106,Fatima 106,fatima.106106@example.com,USA,124.19,2024-05-13
107,Carlos 107,carlos.107107@example.com,Brazil,962.9,2024-05-15
108,Alice 108,alice.108108@example.com,Mexico,600.6,2024-06-25
109,Fatima 109,fatima.109109@example.com,Spain,610.14,2024-09-18
110,Bob 110,bob.110110@example.com,Spain,900.5,2024-04-07
111,Eduardo 111,eduardo.111111@example.com,USA,711.69,2024-01-01
112,Ivan 112,ivan.112112@example.com,Japan,689.98,2024-12-09
113,Diana 113,diana.113113@example.com,Germany,436.98,2024-12-06
114,Fatima 114,fatima.114114@example.com,Brazil,320.77,2024-03-04
115,Eduardo 115,eduardo.115115@example.com,Japan,316.19,2024-07-28
116,Fatima 116,fatima.116116@example.com,Spain,700.23,2024-10-10
117,Carlos 117,carlos.117117@example.com,UK,426.24,2024-07-13
118,Carlos 118,carlos.118118@example.com,Brazil,573.41,2024-07-26
119,Ivan 119,ivan.119119@example.com,USA,310.83,2024-04-17
120,George 120,george.120120@example.com,Brazil,610.59,2024-06-13
121,Hannah 121,hannah.121121@example.com,Italy,447.73,2024-04-19
122,Ivan 122,ivan.122122@example.com,Italy,795.79,2024-03-27
123,Bob 123,bob.123123@example.com,France,520.29,2024-11-20
124,Julia 124,julia.124124@example.com,Germany,102.45,2024-04-30
125,Eduardo 125,eduardo.125125@example.com,UK,808.49,2024-03-16
126,Alice 126,alice.126126@example.com,USA,252.39,2024-08-31
127,Julia 127,julia.127127@example.com,Mexico,460.86,2024-11-18
128,Julia 128,julia.128128@example.com,UK,721.16,2024-07-15
129,Hannah 129,hannah.129129@example.com,Spain,251.54,2024-12-01
130,Alice 130,alice.130130@example.com,Mexico,780.63,2024-04-22
131,Carlos 131,carlos.131131@example.com,Japan,469.9,2024-10-12
132,Diana 132,diana.132132@example.com,Mexico,461.89,2024-08-25
133,Ivan 133,ivan.133133@example.com,Japan,599.49,2024-08-14
134,Julia 134,julia.134134@example.com,Japan,432.47,2024-10-07
135,Hannah 135,hannah.135135@example.com,Canada,746.21,2024-08-31
136,Hannah 136,hannah.136136@example.com,France,754.25,2024-11-22
137,Eduardo 137,eduardo.137137@example.com,Japan,489.75,2024-05-02
